event_key,event_name,event_type,event_location,event_location_size,event_begin_date,event_end_date,city
54,Jazz Aspen Snowmass,music,"113 E Hallam St # 104, Aspen, CO 81611",,9/1/2015,9/3/2015,Denver
55,Rifflandia Music Festival,music ,"Victoria, British Columbia",12500,9/17/2015,9/20/2015,vancourver
56,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/7/2015,10/7/2015,Vancouver
57,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/10/2015,10/10/2015,Vancouver
58,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/12/2015,10/12/2015,Vancouver
59,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/13/2015,10/13/2015,Vancouver
60,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/16/2015,10/16/2015,Vancouver
61,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/18/2015,10/18/2015,Vancouver
62,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/22/2015,10/22/2015,Vancouver
63,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/24/2015,10/24/2015,Vancouver
64,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/27/2015,10/27/2015,Vancouver
65,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/29/2015,10/29/2015,Vancouver
66,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/30/2015,10/30/2015,Vancouver
67,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/2/2015,11/2/2015,Vancouver
68,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/4/2015,11/4/2015,Vancouver
69,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/7/2015,11/7/2015,Vancouver
70,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/8/2015,11/8/2015,Vancouver
71,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/10/2015,11/10/2015,Vancouver
72,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/12/2015,11/12/2015,Vancouver
73,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/14/2015,11/14/2015,Vancouver
74,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/16/2015,11/16/2015,Vancouver
75,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/18/2015,11/18/2015,Vancouver
76,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/21/2015,11/21/2015,Vancouver
77,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/22/2015,11/22/2015,Vancouver
78,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/25/2015,11/25/2015,Vancouver
79,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/27/2015,11/27/2015,Vancouver
80,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/30/2015,11/30/2015,Vancouver
81,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/1/2015,12/1/2015,Vancouver
