event_key,event_name,event_type,event_location,event_location_size,event_begin_date,event_end_date,city
245,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/25/2016,7/25/2016,Denver
246,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/26/2016,7/26/2016,Denver
247,The Underground Music Showcase,music,"downtown,Denver, Colorado",,7/27/2016,7/30/2016,Denver
248,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/27/2016,7/27/2016,Denver
249,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/28/2016,7/28/2016,Denver
250,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/29/2016,7/29/2016,Denver
251,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/30/2016,7/30/2016,Denver
252,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,7/31/2016,7/31/2016,Denver
253,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/2/2016,8/2/2016,Denver
254,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/3/2016,8/3/2016,Denver
255,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/4/2016,8/4/2016,Denver
256,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/5/2016,8/5/2016,Denver
257,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/6/2016,8/6/2016,Denver
258,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/7/2016,8/7/2016,Denver
259,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/8/2016,8/8/2016,Denver
260,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/9/2016,8/9/2016,Denver
261,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/10/2016,8/10/2016,Denver
262,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/11/2016,8/11/2016,Denver
263,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/12/2016,8/12/2016,Denver
264,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/13/2016,8/13/2016,Denver
265,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/14/2016,8/14/2016,Denver
266,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/15/2016,8/15/2016,Denver
267,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/16/2016,8/16/2016,Denver
268,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/17/2016,8/17/2016,Denver
269,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/19/2016,8/19/2016,Denver
270,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/20/2016,8/20/2016,Denver
271,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/21/2016,8/21/2016,Denver
272,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/22/2016,8/22/2016,Denver
273,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/23/2016,8/23/2016,Denver
274,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/24/2016,8/24/2016,Denver
275,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/26/2016,8/26/2016,Denver
276,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/27/2016,8/27/2016,Denver
277,FoCoMX,music,"Fort Collins, CO 80526",33000,8/28/2016,8/29/2016,Denver
278,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/28/2016,8/28/2016,Denver
279,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,8/29/2016,8/29/2016,Denver
280,Jazz Aspen Snowmass,music,"112 E Hallam St # 104, Aspen, CO 81611",,9/1/2016,9/3/2016,Denver
281,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/2/2016,9/2/2016,Denver
282,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/3/2016,9/3/2016,Denver
283,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/4/2016,9/4/2016,Denver
284,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/5/2016,9/5/2016,Denver
285,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/6/2016,9/6/2016,Denver
286,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/7/2016,9/7/2016,Denver
287,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/8/2016,9/8/2016,Denver
288,football,sport,"1701 Bryant St, Denver, CO 80204",76125,9/8/2016,9/8/2016,Denver
289,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/9/2016,9/9/2016,Denver
290,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/10/2016,9/10/2016,Denver
291,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/11/2016,9/11/2016,Denver
292,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/12/2016,9/12/2016,Denver
293,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/13/2016,9/13/2016,Denver
294,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/14/2016,9/14/2016,Denver
295,Rifflandia Music Festival,music ,"Victoria, British Columbia",12500,9/15/2016,9/18/2016,vancourver
296,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/16/2016,9/16/2016,Denver
297,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/17/2016,9/17/2016,Denver
298,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/18/2016,9/18/2016,Denver
299,football,sport,"1702 Bryant St, Denver, CO 80204",76125,9/18/2016,9/18/2016,Denver
300,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/19/2016,9/19/2016,Denver
301,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/20/2016,9/20/2016,Denver
302,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/21/2016,9/21/2016,Denver
303,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/22/2016,9/22/2016,Denver
304,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/23/2016,9/23/2016,Denver
305,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/24/2016,9/24/2016,Denver
306,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/25/2016,9/25/2016,Denver
307,football,sport,"1703 Bryant St, Denver, CO 80204",76125,9/25/2016,9/25/2016,Denver
308,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/27/2016,9/27/2016,Denver
309,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/28/2016,9/28/2016,Denver
310,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/29/2016,9/29/2016,Denver
311,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,9/30/2016,9/30/2016,Denver
312,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,10/1/2016,10/1/2016,Denver
313,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,10/2/2016,10/2/2016,Denver
314,football,sport,"1704 Bryant St, Denver, CO 80204",76125,10/2/2016,10/2/2016,Denver
315,football,sport,"1705 Bryant St, Denver, CO 80204",76125,10/9/2016,10/9/2016,Denver
316,football,sport,"1706 Bryant St, Denver, CO 80204",76125,10/13/2016,10/13/2016,Denver
317,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/15/2016,10/15/2016,Vancouver
318,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/16/2016,10/16/2016,Vancouver
319,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/18/2016,10/18/2016,Vancouver
320,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/20/2016,10/20/2016,Vancouver
321,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/22/2016,10/22/2016,Vancouver
322,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/23/2016,10/23/2016,Vancouver
323,football,sport,"1707 Bryant St, Denver, CO 80204",76125,10/24/2016,10/24/2016,Denver
324,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/25/2016,10/25/2016,Vancouver
325,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,10/26/2016,10/26/2016,Denver
326,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/28/2016,10/28/2016,Vancouver
327,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,10/29/2016,10/29/2016,Denver
328,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,10/29/2016,10/29/2016,Vancouver
329,football,sport,"1708 Bryant St, Denver, CO 80204",76125,10/30/2016,10/30/2016,Denver
330,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,10/31/2016,10/31/2016,Denver
331,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/2/2016,11/2/2016,Vancouver
332,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/3/2016,11/3/2016,Denver
333,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/3/2016,11/3/2016,Vancouver
334,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/5/2016,11/5/2016,Denver
335,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/5/2016,11/5/2016,Vancouver
336,football,sport,"1709 Bryant St, Denver, CO 80204",76125,11/6/2016,11/6/2016,Denver
337,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/6/2016,11/6/2016,Denver
338,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/7/2016,11/7/2016,Vancouver
339,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/8/2016,11/8/2016,Denver
340,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/8/2016,11/8/2016,Vancouver
341,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/10/2016,11/10/2016,Denver
342,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/10/2016,11/10/2016,Vancouver
343,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/12/2016,11/12/2016,Denver
344,football,sport,"1710 Bryant St, Denver, CO 80204",76125,11/13/2016,11/13/2016,Denver
345,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/13/2016,11/13/2016,Denver
346,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/13/2016,11/13/2016,Vancouver
347,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/15/2016,11/15/2016,Vancouver
348,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/16/2016,11/16/2016,Denver
349,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/17/2016,11/17/2016,Vancouver
350,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/18/2016,11/18/2016,Denver
351,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/19/2016,11/19/2016,Vancouver
352,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/20/2016,11/20/2016,Denver
353,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/22/2016,11/22/2016,Denver
354,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/23/2016,11/23/2016,Denver
355,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/23/2016,11/23/2016,Vancouver
356,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/25/2016,11/25/2016,Denver
357,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/25/2016,11/25/2016,Vancouver
358,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/26/2016,11/26/2016,Vancouver
359,football,sport,"1711 Bryant St, Denver, CO 80204",76125,11/27/2016,11/27/2016,Denver
360,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/27/2016,11/27/2016,Denver
361,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,11/29/2016,11/29/2016,Vancouver
362,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,11/30/2016,11/30/2016,Denver
363,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/1/2016,12/1/2016,Vancouver
364,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/2/2016,12/2/2016,Denver
365,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/3/2016,12/3/2016,Denver
366,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/3/2016,12/3/2016,Vancouver
367,football,sport,"1712 Bryant St, Denver, CO 80204",76125,12/4/2016,12/4/2016,Denver
368,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/5/2016,12/5/2016,Denver
369,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/6/2016,12/6/2016,Vancouver
370,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/7/2016,12/7/2016,Denver
371,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/8/2016,12/8/2016,Denver
372,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/8/2016,12/8/2016,Vancouver
373,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/10/2016,12/10/2016,Denver
374,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/10/2016,12/10/2016,Vancouver
375,football,sport,"1713 Bryant St, Denver, CO 80204",76125,12/11/2016,12/11/2016,Denver
376,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/11/2016,12/11/2016,Vancouver
377,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/12/2016,12/12/2016,Denver
378,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/13/2016,12/13/2016,Vancouver
379,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/15/2016,12/15/2016,Denver
380,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/16/2016,12/16/2016,Vancouver
381,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/17/2016,12/17/2016,Denver
382,football,sport,"1714 Bryant St, Denver, CO 80204",76125,12/18/2016,12/18/2016,Denver
383,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/18/2016,12/18/2016,Vancouver
384,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/19/2016,12/19/2016,Denver
385,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/20/2016,12/20/2016,Denver
386,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/20/2016,12/20/2016,Vancouver
387,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/22/2016,12/22/2016,Vancouver
388,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/23/2016,12/23/2016,Denver
389,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/23/2016,12/23/2016,Vancouver
390,football,sport,"1715 Bryant St, Denver, CO 80204",76125,12/25/2016,12/25/2016,Denver
391,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/26/2016,12/26/2016,Denver
392,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/28/2016,12/28/2016,Denver
393,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/28/2016,12/28/2016,Vancouver
394,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,12/30/2016,12/30/2016,Denver
395,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/30/2016,12/30/2016,Vancouver
396,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,12/31/2016,12/31/2016,Vancouver
397,football,sport,"1716 Bryant St, Denver, CO 80204",76125,1/1/2017,1/1/2017,Denver
398,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/2/2017,1/2/2017,Denver
399,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/2/2017,1/2/2017,Vancouver
400,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/2/2017,1/2/2017,Vancouver
401,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/3/2017,1/3/2017,Denver
402,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/4/2017,1/4/2017,Vancouver
403,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/5/2017,1/5/2017,Denver
404,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/6/2017,1/6/2017,Vancouver
405,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/6/2017,1/6/2017,Vancouver
406,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/7/2017,1/7/2017,Denver
407,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/7/2017,1/7/2017,Vancouver
408,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/10/2017,1/10/2017,Vancouver
409,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/12/2017,1/12/2017,Denver
410,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/12/2017,1/12/2017,Vancouver
411,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/15/2017,1/15/2017,Vancouver
412,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/16/2017,1/16/2017,Denver
413,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/17/2017,1/17/2017,Denver
414,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/17/2017,1/17/2017,Vancouver
415,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/19/2017,1/19/2017,Denver
416,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/20/2017,1/20/2017,Vancouver
417,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/21/2017,1/21/2017,Denver
418,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/22/2017,1/22/2017,Denver
419,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/22/2017,1/22/2017,Vancouver
420,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/24/2017,1/24/2017,Denver
421,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/25/2017,1/25/2017,Vancouver
422,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/26/2017,1/26/2017,Denver
423,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,1/26/2017,1/26/2017,Vancouver
424,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/28/2017,1/28/2017,Denver
425,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,1/31/2017,1/31/2017,Denver
426,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,2/1/2017,2/1/2017,Denver
427,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/2/2017,2/2/2017,Vancouver
428,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,2/3/2017,2/3/2017,Denver
429,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,2/4/2017,2/4/2017,Denver
430,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/4/2017,2/4/2017,Vancouver
431,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,2/6/2017,2/6/2017,Denver
432,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/7/2017,2/7/2017,Vancouver
433,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,2/8/2017,2/8/2017,Denver
434,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/9/2017,2/9/2017,Vancouver
435,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,2/10/2017,2/10/2017,Denver
436,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,2/11/2017,2/11/2017,Denver
437,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/11/2017,2/11/2017,Vancouver
438,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/12/2017,2/12/2017,Vancouver
439,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,2/13/2017,2/13/2017,Denver
440,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/14/2017,2/14/2017,Vancouver
441,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,2/15/2017,2/15/2017,Denver
442,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/16/2017,2/16/2017,Vancouver
443,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/18/2017,2/18/2017,Vancouver
444,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/19/2017,2/19/2017,Vancouver
445,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,2/23/2017,2/23/2017,Denver
446,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,2/24/2017,2/24/2017,Denver
447,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/25/2017,2/25/2017,Vancouver
448,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,2/26/2017,2/26/2017,Denver
449,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,2/28/2017,2/28/2017,Denver
450,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,2/28/2017,2/28/2017,Vancouver
451,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/1/2017,3/1/2017,Denver
452,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/2/2017,3/2/2017,Vancouver
453,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/4/2017,3/4/2017,Denver
454,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/4/2017,3/4/2017,Vancouver
455,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/5/2017,3/5/2017,Vancouver
456,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/6/2017,3/6/2017,Denver
457,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/7/2017,3/7/2017,Vancouver
458,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/8/2017,3/8/2017,Denver
459,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/9/2017,3/9/2017,Vancouver
460,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/10/2017,3/10/2017,Denver
461,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/11/2017,3/11/2017,Denver
462,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/11/2017,3/11/2017,Vancouver
463,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/13/2017,3/13/2017,Denver
464,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/13/2017,3/13/2017,Vancouver
465,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/16/2017,3/16/2017,Denver
466,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/16/2017,3/16/2017,Vancouver
467,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/18/2017,3/18/2017,Denver
468,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/18/2017,3/18/2017,Vancouver
469,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/20/2017,3/20/2017,Denver
470,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/21/2017,3/21/2017,Vancouver
471,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/22/2017,3/22/2017,Denver
472,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/23/2017,3/23/2017,Vancouver
473,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/24/2017,3/24/2017,Denver
474,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/25/2017,3/25/2017,Vancouver
475,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/26/2017,3/26/2017,Denver
476,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/26/2017,3/26/2017,Vancouver
477,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/28/2017,3/28/2017,Denver
478,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/28/2017,3/28/2017,Vancouver
479,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,3/31/2017,3/31/2017,Denver
480,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/31/2017,3/31/2017,Vancouver
481,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,4/2/2017,4/2/2017,Denver
482,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/2/2017,4/2/2017,Vancouver
483,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/4/2017,4/4/2017,Denver
484,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,4/4/2017,4/4/2017,Denver
485,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/4/2017,4/4/2017,Vancouver
486,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/5/2017,4/5/2017,Denver
487,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,4/5/2017,4/5/2017,Denver
488,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/6/2017,4/6/2017,Denver
489,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/6/2017,4/6/2017,Vancouver
490,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/7/2017,4/7/2017,Denver
491,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,4/7/2017,4/7/2017,Denver
492,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/8/2017,4/8/2017,Denver
493,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/8/2017,4/8/2017,Vancouver
494,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/9/2017,4/9/2017,Denver
495,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,4/9/2017,4/9/2017,Denver
496,NHL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/9/2017,4/9/2017,Vancouver
497,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/10/2017,4/10/2017,Denver
498,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/11/2017,4/11/2017,Denver
499,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,4/11/2017,4/11/2017,Denver
500,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/12/2017,4/12/2017,Denver
501,NBA,sport,"1000 Chopper Cir, Denver, CO 80204",18007,4/12/2017,4/12/2017,Denver
502,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/13/2017,4/13/2017,Denver
503,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/14/2017,4/14/2017,Denver
504,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/15/2017,4/15/2017,Denver
505,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/16/2017,4/16/2017,Denver
506,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/18/2017,4/18/2017,Denver
